identifier,identifier 2,subject_name 1,subject_name 2,subject_name 3,subject_name 4,subject_name 5,subject_name 6,publisher,placeOfOrigin 1,placeOfOrigin 2,placeOfOrigin 3,placeOfOrigin 4,date_publication,subject_geographic 1,subject_topical 1,subject_topical 2,subject_topical 3,object_in_context_url,item_type,form,date_text,date_single_start,date_end,date_qualifier,public_note,rights,collection_title,collection_identifier,shelf_locator,record_source,repository,language,title,project_title,abstract,name,role
spc_4441,0012_000128_000269_0001,Scopes Trial,"Scopes, John Thomas | http://id.loc.gov/authorities/names/n79041823","Bryan, William Jennings, 1860-1925 | http://id.loc.gov/authorities/names/n80044871","Robinson, Wallace Clarke, 1920-1995","Robinson, Frank Earle, 1881-1957","Robinson, Frank Earle, 1881-1957",,,,,,,,,,,http://kiva.lib.utk.edu/spc/items/show/4441,still image,photographs | http://vocab.getty.edu/aat/300046300,1925,1925,,,,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","W.C. Robinson Collection of Scopes Trial Photographs, circa 1925, circa 1976",MS.1091,"Box 1, Folder 2","University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections",zxx,Teen Age Girls With Monkey-Dolls,Special Collections Online,"Scopes Trial Photographs, circa 1925, A-25, Teen age girls with monkey-dolls",unknown | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre,creator
spc_3663,0012_000106_000434,"University of Tennessee, Knoxville | http://id.loc.gov/authorities/names/n80003889",,,,,,,,,,,,,,,,http://kiva.lib.utk.edu/spc/items/show/3663,still image,photographs | http://vocab.getty.edu/aat/300046300,undated,1820,1990,inferred,Dates inferred from dates of archival collection.,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",University of Tennessee Photograph and Slide Collection,AR.0018,"Box 5, Folder 18","University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections",zxx,Geology and Geography,Special Collections Online,"MAPS FOR FIELD STUDY-- Before taking to the field to study rock formations of the Southern Appalachians, these University of Tennessee students check their geological maps. Students are (left to right) David E. McGuire, Wooster, Ohio; Albert e. Blanton, Chattanooga, and H. Douglas Preble, Loraine, Ohio. The summer camp is maintained by U-T near Dayton, Tenn.","Dougherty, Rowland | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre",creator
spc_4121,0012_000067_000465_0001,C.T. American Art,,,,,,,,,,,,,Coal mines and mining--Tennessee,"Knoxville (Tenn.)--Buildings, structures, etc.",,http://kiva.lib.utk.edu/spc/items/show/4121,still image,photographs | http://vocab.getty.edu/aat/300046300,1923,1923,,,,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",Photographs of Tennessee Cities Collection,MS.0951,"Box 2, Folder 6","University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections",zxx,Coal Scene Near Knoxville,Special Collections Online,Coal was one of East Tennessee's major industries during the early 20th century. The field began to decline during the 1930s and today the industry is no longer nearly as prominent as it once was.,,
spc_4981,cw0202173,,,,,,,,,,,,,"Tennessee | URI: http://id.loc.gov/authorities/names/n79060965 | Coordinates: 35.75035, -86.25027 | Tennessee | URI: http://id.loc.gov/authorities/names/n79060965 | Coordinates: 35.75035, -86.25027 | Tennessee | URI: http://id.loc.gov/authorities/names/n79060965 | Coordinates: 35.75035, -86.25027",Yearbooks | http://id.loc.gov/authorities/subjects/sh85149058,,Artwork,http://kiva.lib.utk.edu/spc/items/show/4981,still image,photographs | http://vocab.getty.edu/aat/300046300,1895-1897,1895,1897,,,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",Anna Catherine Wiley Sketches Collection,MS.1287,"Box 2, Folder 2","University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections",zxx,Yearbook Illustrations in Ink: Class and Year Drawings,Special Collections Online,"Illustration, inks","Wiley, Catherine, 1879-1958 | URI: http://id.loc.gov/authorities/names/nr92031762 | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre",creator
spc_4245,0012_000067_000589_0001,Knoxville Engraving Co.,,,,,,,,,,,,,Railroads--Tennessee | http://id.loc.gov/authorities/subjects/sh87002049,,"Knoxville (Tenn.)--Buildings, structures, etc.",http://kiva.lib.utk.edu/spc/items/show/4245,still image,photographs | http://vocab.getty.edu/aat/300046300,1924 - 1930,1924,1930,,,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",Photographs of Tennessee Cities Collection,MS.0951,"Box 2, Folder 6","University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections",zxx,Louisville & Nashville Railroad Depot,Special Collections Online,"Until the Louisville & Nashville Railroad gained entrance to Knoxville in 1905, the Southern Railway held a monopoly on rail traffic through the city. This depot was completed in 1906 and featured such amenities as a Ladies' Waiting Room with a private entrance, a fireplace, rocking chairs, and desks complete with L&N stationary. The building was renovated for the 1982 World's Fair and today houses two restaurants opened shortly after the renovation was complete.",,
spc_4189,0012_000067_000533_0001,,,,,,,,,,,,,,Knoxville (Tenn.)--History | http://id.loc.gov/authorities/subjects/sh00007640,,"Knoxville (Tenn.)--Buildings, structures, etc.",http://kiva.lib.utk.edu/spc/items/show/4189,still image,photographs | http://vocab.getty.edu/aat/300046300,1903,1903,,,,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",Photographs of Tennessee Cities Collection,MS.0951,"Box 2, Folder 6","University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections",zxx,Gay Street Bridge,Special Collections Online,"The Union Army built Knoxville's first bridge across the Tennessee River during the Civil War. This structure was washed away in 1867 and subsequently replaced by a toll bridge. A tornado destroyed this span in 1875, and a fourth bridge was constructed in 1880. This structure lasted until 1898, when it was replaced by a modern and much-admired steel bridge. This particular image was ""published for the benefit of the 'Children's Mission Home'"" in Knoxville.",,
spc_4380,0012_000411_000219_0001,,,,,,,,,,,,,,Motion picture producers and directors--United States | http://id.loc.gov/authorities/subjects/sh87006130,,"World War, 1914-1918 | http://id.loc.gov/authorities/subjects/sh85148236",http://kiva.lib.utk.edu/spc/items/show/4380,still image,photographs | http://vocab.getty.edu/aat/300046300,1918,1918,,,,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",Clarence Brown Collection,MS.1023,"Section II, Item 8","University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections",zxx,Clarence Brown in Plane,Special Collections Online,"Clarence Brown was born on May 10, 1890, in Clinton, Massachusetts. He moved with his family to Knoxville, Tennessee as a child and graduated from Knoxville High School in 1905. Brown received a double degree in mechanical and electrical engineering from the University of Tennessee in 1910 and then began a career selling automobiles in Alabama. Fascinated with movies, he moved to New Jersey where he studied with French director Maurice Tourneur at Peerless Studios. There, the pair directed The Last of the Mohicans (1920). Brown directed or produced more than fifty widely-acclaimed full length motion pictures and worked with many of the most famous performers in the film industry, including Joan Crawford and Clark Gable in Chained (1934), Spencer Tracy in Edison the Man (1940), Elizabeth Taylor in National Velvet (1945), and Gregory Peck in The Yearling (1947). At the time of his retirement in 1952, Brown had received six Academy Award nominations for Best Director and won eight Oscars for his films. When he died in 1987, Brown left $12 million to the University of Tennessee. When added to the $1 million donated during his lifetime, the sum made him the largest donor in the university's history.",unknown | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre,creator
spc_4476,0012_000463_000201_0001,,,,,,,,,,,,,"Knoxville (Tenn.) | URI: http://id.loc.gov/authorities/names/n79109786 | Coordinates: 35.96064, -83.92074","Gardens, American | http://id.loc.gov/authorities/subjects/sh85053123",,,http://kiva.lib.utk.edu/spc/items/show/4476,still image,photographs | http://vocab.getty.edu/aat/300046300,1925 - 1930,1925,1930,,,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",Knoxville Gardens Slides,MS.1324,"Box 1, Folder 92","University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections",zxx,View in Jane (Johnston) Saunders' Garden,Special Collections Online,"Jane Jaques Johnston (1876-1950) was born to John Yates and Susan (Ayres) Johnston in Tennessee. She married Ebenezer Hepburn Saunders on October 24, 1901 and the couple lived at 421 West Main Street, where Jane maintained this garden.",Jim Thompson Company | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre,creator
spc_4389,0012_000128_000217_0001,Scopes Trial,"Scopes, John Thomas | http://id.loc.gov/authorities/names/n79041823","Bryan, William Jennings, 1860-1925 | http://id.loc.gov/authorities/names/n80044871","Robinson, Wallace Clarke, 1920-1995","Robinson, Frank Earle, 1881-1957","Robinson, Frank Earle, 1881-1957",,,,,,,,,,,http://kiva.lib.utk.edu/spc/items/show/4389,still image,photographs | http://vocab.getty.edu/aat/300046300,1925,1925,,,,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","W.C. Robinson Collection of Scopes Trial Photographs, circa 1925, circa 1976",MS.1091,"Box 1, Folder 1","University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections",zxx,Courtroom Scene During Trial,Special Collections Online,"Scopes Trial Photographs, circa 1925, A-27, Courtroom Scene During Trial (left of WGN microphone) Dudley Field Malone, (right) Gordon McKenzie, Wallace Haggard (partly hidden), Herb Hicks, Tom Stewart",unknown | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre,creator
spc_4447,0012_000128_000275_0001,Scopes Trial,"Scopes, John Thomas | http://id.loc.gov/authorities/names/n79041823","Bryan, William Jennings, 1860-1925 | http://id.loc.gov/authorities/names/n80044871","Robinson, Wallace Clarke, 1920-1995","Robinson, Frank Earle, 1881-1957","Robinson, Frank Earle, 1881-1957",,,,,,,,,,,http://kiva.lib.utk.edu/spc/items/show/4447,still image,photographs | http://vocab.getty.edu/aat/300046300,1925,1925,,,,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","W.C. Robinson Collection of Scopes Trial Photographs, circa 1925, circa 1976",MS.1091,"Box 1, Folder 2","University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections",zxx,Monkey Filming Blacks,Special Collections Online,"Scopes Trial Photographs, circa 1925, -X-, Monkey Filming Blacks, (wearing skull cap) Clifford West, _____ Douglas (on right)",unknown | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre,creator
spc_4224,0012_000067_000568_0001,Carter & Gut,,,,,,,,,,,,,"Knoxville (Tenn.)--Buildings, structures, etc.",,,http://kiva.lib.utk.edu/spc/items/show/4224,still image,photographs | http://vocab.getty.edu/aat/300046300,1902 - 1906,1902,1906,,,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",Photographs of Tennessee Cities Collection,MS.0951,"Box 2, Folder 6","University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections",zxx,Gay Street,Special Collections Online,"View on Gay Street, long one of Knoxville's major thoroughfares.",,
spc_4938,cw0118144,,,,,,,,,,,,,,,,,http://kiva.lib.utk.edu/spc/items/show/4938,still image,photographs | http://vocab.getty.edu/aat/300046300,1895-1897,1895,1897,,,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",Anna Catherine Wiley Sketches Collection,MS.1287,"Box 1, Folder 18","University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections",zxx,Pencil Drawn Town Sketches,Special Collections Online,"Landscape, pencils","Wiley, Catherine, 1879-1958 | URI: http://id.loc.gov/authorities/names/nr92031762 | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre",creator
spc_4849,cw010961,,,,,,,,,,,,,,Women,Artwork,,http://kiva.lib.utk.edu/spc/items/show/4849,still image,photographs | http://vocab.getty.edu/aat/300046300,1895-1897,1895,1897,,,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",Anna Catherine Wiley Sketches Collection,MS.1287,"Box 1, Folder 9","University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections",zxx,Pencil Figure Drawing of a Woman,Special Collections Online,"Figure study, pencils","Wiley, Catherine, 1879-1958 | URI: http://id.loc.gov/authorities/names/nr92031762 | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre",creator
spc_3646,0012_000106_000417,"University of Tennessee, Knoxville | http://id.loc.gov/authorities/names/n80003889",,,,,,,,,,,,,,,,http://kiva.lib.utk.edu/spc/items/show/3646,still image,photographs | http://vocab.getty.edu/aat/300046300,undated,1820,1990,inferred,Dates inferred from dates of archival collection.,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",University of Tennessee Photograph and Slide Collection,AR.0018,"Box 5, Folder 13","University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections",zxx,"Botany - L.R. Hesler, Dean Emeritus",Special Collections Online,"L.R. Hesler, Dean Emeritus, College of Liberal Arts, The University of Tennessee, Knoxville","Robertson, Ernest B., Jr. | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre",creator
spc_3943,0012_000067_000287_0001,,,,,,,,,,,,,,"Knoxville (Tenn.)--Buildings, structures, etc.",Knoxville (Tenn.)--History | http://id.loc.gov/authorities/subjects/sh00007640,,http://kiva.lib.utk.edu/spc/items/show/3943,still image,photographs | http://vocab.getty.edu/aat/300046300,1925,1925,,,,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",Photographs of Tennessee Cities Collection,MS.0951,"Box 2, Folder 2","University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections",zxx,Bradley Drug Co. and Co-Operative Drug Co. Inc.,Special Collections Online,"The Bradley Drug Co. was founded in 1917 and had moved to its quarters at 624 S. Gay Street in downtown Knoxville by 1920. The Co-Operative Drug Co. Inc. replaced it in 1925, but went out of business in under a year.",unknown | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre,creator
spc_4863,cw011075,,,,,,,,,,,,,,Men | http://id.loc.gov/authorities/subjects/sh85083510,,Artwork,http://kiva.lib.utk.edu/spc/items/show/4863,still image,photographs | http://vocab.getty.edu/aat/300046300,1895-1897,1895,1897,,,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",Anna Catherine Wiley Sketches Collection,MS.1287,"Box 1, Folder 10","University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections",zxx,Pencil Figure Drawing of a Man,Special Collections Online,"Figure study, pencils","Wiley, Catherine, 1879-1958 | URI: http://id.loc.gov/authorities/names/nr92031762 | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre",creator
spc_4941,cw0118147,,,,,,,,,,,,,,Women,Artwork,,http://kiva.lib.utk.edu/spc/items/show/4941,still image,photographs | http://vocab.getty.edu/aat/300046300,1895-1897,1895,1897,,,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",Anna Catherine Wiley Sketches Collection,MS.1287,"Box 1, Folder 18","University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections",zxx,Pencil Drawn Face of Woman,Special Collections Online,"Figure study, pencils","Wiley, Catherine, 1879-1958 | URI: http://id.loc.gov/authorities/names/nr92031762 | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre",creator
spc_3775,0012_000253_000200_0001,"Dromgoole, Will Allen, 1860-1934 | http://id.loc.gov/authorities/names/n86847029",,,,,,,,,,,,,"Women authors, American | http://id.loc.gov/authorities/subjects/sh85147459",,,http://kiva.lib.utk.edu/spc/items/show/3775,still image,photographs | http://vocab.getty.edu/aat/300046300,1900,1900,,,,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",Will Allen Dromgoole Collection,MS.0201,"Box 4, Folder 4","University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections",zxx,Portrait of Miss Will Allen Dromgoole,Special Collections Online,"William Allen Dromgoole (usually called ""Will Allen"" and known widely as ""Miss Will"") was born to John Easter and Rebecca Blanche Dromgoole in Murfreesboro, Tennessee in 1860. She graduated from the Clarksville Female Academy in 1876 and went on to study at the New England School of Expression in Boston. After her mother's death in 1884, Dromgoole returned to Tennessee to care for her ageing father and began a career as a writer. She published her first novel, _The Sunny Side of the Cumberlands_, under the name ""Will Allen"" in 1886. She also studied law with her father and won terms as a clerk in the Tennessee State Senate in 1885 and 1887. She was, however, defeated in 1889 and 1891. After her second defeat, she traveled to Texas, where she taught and wrote for several newspapers. She soon returned to Nashville, where she spent her time with her father until his death in 1897. In 1900, she began writing for the _Nashville Banner_. She was hired as a permanent staff member in 1902 and began writing her popular column, titled ""Song and Story,"" in 1903. She continued this column for 31 years. Dromgoole also volunteered for the U.S. Navy during World War I and was recruited as a yeomanry warrant officer (possibly the first woman to serve in this capacity) in May of 1917. She died on September 1, 1934 and was buried in Evergreen Cemetery in Murfreesboro, Tennessee.",Corbitt | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre,creator
spc_4096,0012_000067_000440_0001,International Post Card Co.,,,,,,East Tennessee Historical Society,"500 West Church Avenue, Knoxville, TN 37902",,,,1991,,Young Men's Christian Associations--United States--History,"Knoxville (Tenn.)--Buildings, structures, etc.",,http://kiva.lib.utk.edu/spc/items/show/4096,still image,photographs | http://vocab.getty.edu/aat/300046300,1920 - 1929,1920,1929,,,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",Photographs of Tennessee Cities Collection,MS.0951,"Box 2, Folder 6","University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections",zxx,Young Men's Christian Association (YMCA),Special Collections Online,"Knoxville's first YMCA was organized in 1854 at the Second Presbyterian Church. The organization moved to this structure, standing on the corner of Commerce and State, in 1900. They continued to meet here until 1929, when they moved to a newer edifice on the corner of Locust and Clinch.",,
spc_4141,0012_000067_000485_0001,,,,,,,,,,,,,,Tennessee River--Pictorial Works,"Knoxville (Tenn.)--Buildings, structures, etc.",,http://kiva.lib.utk.edu/spc/items/show/4141,still image,photographs | http://vocab.getty.edu/aat/300046300,1910-09,1910-09,,,,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",Photographs of Tennessee Cities Collection,MS.0951,"Box 2, Folder 6","University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections",zxx,Gay Street Bridge,Special Collections Online,"The Union Army built Knoxville's first bridge across the Tennessee River during the Civil War. This structure was washed away in 1867 and subsequently replaced by a toll bridge. A tornado destroyed this span in 1875, and a fourth bridge was constructed in 1880. This structure lasted until 1898, when it was replaced by a modern and much-admired steel bridge.",unknown | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre,creator
spc_4670,0012_000594_000216_0001,,,,,,,,,,,,,,"World War, 1939-1945--Participation--United States","World War, 1939-1945--Medical care | http://id.loc.gov/authorities/subjects/sh85148441",,http://kiva.lib.utk.edu/spc/items/show/4670,still image,photographs | http://vocab.getty.edu/aat/300046300,1943 - 1944,1943,1944,,,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",World War II / American Conflict Collection,MS.2112,"Box 2, Palowski Photograph Album","University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections",zxx,Kitchen Patrol,Special Collections Online,Kitchen Patrol at the 74th General Hospital. This picture was taken while the unit was stationed near Tyntesfield in England.,unknown | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre,creator
